,id,c_percent,lat,lon,alt,site,site_alt,site_alt_id
0,1-1-A,1.1042222123052015,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A
1,1-1-B,0.4750015432501141,32.4191777466267,-85.4147269991234,-7.5,0,0_B,B
2,1-1-C,0.38630465433238803,32.4191777466267,-85.4147269991234,-12.5,0,0_C,C
3,1-1-D,0.31059298672875435,32.4191777466267,-85.4147269991234,-17.5,0,0_D,D
4,1-1-E,0.33390315830133277,32.4191777466267,-85.4147269991234,-22.5,0,0_E,E
5,1-1-F,0.32602340938211344,32.4191777466267,-85.4147269991234,-27.5,0,0_F,F
6,1-2-A,0.5645457780565064,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A
7,1-2-B,0.4415589765294344,32.4191777466267,-85.4147269991234,-7.5,0,0_B,B
8,1-2-C,0.4650431197196724,32.4191777466267,-85.4147269991234,-12.5,0,0_C,C
9,1-2-D,0.44663884239888435,32.4191777466267,-85.4147269991234,-17.5,0,0_D,D
10,1-2-E,0.4962628159251191,32.4191777466267,-85.4147269991234,-22.5,0,0_E,E
11,1-2-F,0.33667834726688106,32.4191777466267,-85.4147269991234,-27.5,0,0_F,F
12,1-3-A,0.7185889088605861,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A
13,1-3-B,0.3620185052330675,32.4191777466267,-85.4147269991234,-7.5,0,0_B,B
14,1-3-C,0.32013852956178485,32.4191777466267,-85.4147269991234,-12.5,0,0_C,C
15,1-3-D,0.30543287038440275,32.4191777466267,-85.4147269991234,-17.5,0,0_D,D
16,1-3-E,0.12447859952936144,32.4191777466267,-85.4147269991234,-22.5,0,0_E,E
17,1-3-F,0.17044499281640474,32.4191777466267,-85.4147269991234,-27.5,0,0_F,F
18,1-4-A,0.7055153889560661,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A
19,1-4-B,0.35852584568145346,32.4191777466267,-85.4147269991234,-7.5,0,0_B,B
20,1-4-C,0.34326344424323085,32.4191777466267,-85.4147269991234,-12.5,0,0_C,C
21,1-4-D,0.1478487875389272,32.4191777466267,-85.4147269991234,-17.5,0,0_D,D
22,1-4-E,0.09742123097078476,32.4191777466267,-85.4147269991234,-22.5,0,0_E,E
23,1-4-F,0.14104620552318445,32.4191777466267,-85.4147269991234,-27.5,0,0_F,F
24,1-5-A,0.7030444365865158,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A
