cell_id,Density
9000,0.53
9001,0.53
9002,0.53
9003,0.53
9004,0.53
9005,0.53
9006,0.53
9007,0.53
9008,0.53
9009,0.53
9010,0.53
9011,0.53
9012,0.53
9013,0.53
9014,0.53
9015,0.53
9016,0.53
9017,0.53
9018,0.53
9019,0.53
9020,0.53
9021,0.53
9022,0.53
9023,0.53
9024,0.53
9025,0.53
9026,0.53
9027,0.53
9028,0.53
9029,0.53
9030,0.53
9031,0.53
9032,0.53
9033,0.53
9034,0.53
9035,0.53
9036,0.53
9037,0.53
9038,0.53
9039,0.53
9040,0.53
9041,0.53
9042,0.53
9043,0.53
9044,0.53
9045,0.53
9046,0.53
9047,0.53
9048,0.53
9049,0.53
9050,0.53
9051,0.53
9052,0.53
9053,0.53
9054,0.53
9055,0.53
9056,0.53
9057,0.53
9058,0.53
9059,0.53
9060,0.53
9061,0.53
9062,0.53
9063,0.53
9064,0.53
9065,0.53
9066,0.53
9067,0.53
9068,0.53
9069,0.53
9070,0.53
9071,0.53
9072,0.53
9073,0.53
9074,0.53
9075,0.53
9076,0.53
9077,0.53
9078,0.53
9079,0.53
9080,0.53
9081,0.53
9082,0.53
9083,0.53
9084,0.53
9085,0.53
9086,0.53
9087,0.53
9088,0.53
9089,0.53
9090,0.53
9091,0.53
9092,0.53
9093,0.53
9094,0.53
9095,0.53
9096,0.53
9097,0.53
9098,0.53
9099,0.53
9100,0.53
9101,0.53
9102,0.53
9103,0.53
9104,0.53
9105,0.53
9106,0.53
9107,0.53
9108,0.53
9109,0.53
9110,0.53
9111,0.53
9112,0.53
9113,0.53
9114,0.53
9115,0.53
9116,0.53
9117,0.53
9118,0.53
9119,0.53
9120,0.53
9121,0.53
9122,0.53
9123,0.53
9124,0.53
9125,0.53
9126,0.53
9127,0.53
9128,0.53
9129,0.53
9130,0.53
9131,0.53
9132,0.53
9133,0.53
9134,0.53
9135,0.53
9136,0.53
9137,0.53
9138,0.53
9139,0.53
9140,0.53
9141,0.53
9142,0.53
9143,0.53
9144,0.53
9145,0.53
9146,0.53
9147,0.53
9148,0.53
9149,0.53
9150,0.53
9151,0.53
9152,0.53
9153,0.53
9154,0.53
9155,0.53
9156,0.53
9157,0.53
9158,0.53
9159,0.53
9160,0.53
9161,0.53
9162,0.53
9163,0.53
9164,0.53
9165,0.53
9166,0.53
9167,0.53
9168,0.53
9169,0.53
9170,0.53
9171,0.53
9172,0.53
9173,0.53
9174,0.53
9175,0.53
9176,0.53
9177,0.53
9178,0.53
9179,0.53
9180,0.53
9181,0.53
9182,0.53
9183,0.53
9184,0.53
9185,0.53
9186,0.53
9187,0.53
9188,0.53
9189,0.53
9190,0.53
9191,0.53
9192,0.53
9193,0.53
9194,0.53
9195,0.53
9196,0.53
9197,0.53
9198,0.53
9199,0.53
9200,0.53
9201,0.53
9202,0.53
9203,0.53
9204,0.53
9205,0.53
9206,0.53
9207,0.53
9208,0.53
9209,0.53
9210,0.53
9211,0.53
9212,0.53
9213,0.53
9214,0.53
9215,0.53
9216,0.53
9217,0.53
9218,0.53
9219,0.53
9220,0.53
9221,0.53
9222,0.53
9223,0.53
9224,0.53
9225,0.53
9226,0.53
9227,0.53
9228,0.53
9229,0.53
9230,0.53
9231,0.53
9232,0.53
9233,0.53
9234,0.53
9235,0.53
9236,0.53
9237,0.53
9238,0.53
9239,0.53
9240,0.53
9241,0.53
9242,0.53
9243,0.53
9244,0.53
9245,0.53
9246,0.53
9247,0.53
9248,0.53
9249,0.53
9250,0.53
9251,0.53
9252,0.53
9253,0.53
9254,0.53
9255,0.53
9256,0.53
9257,0.53
9258,0.53
9259,0.53
9260,0.53
9261,0.53
9262,0.53
9263,0.53
9264,0.53
9265,0.53
9266,0.53
9267,0.53
9268,0.53
9269,0.53
9270,0.53
9271,0.53
9272,0.53
9273,0.53
9274,0.53
9275,0.53
9276,0.53
9277,0.53
9278,0.53
9279,0.53
9280,0.53
9281,0.53
9282,0.53
9283,0.53
9284,0.53
9285,0.53
9286,0.53
9287,0.53
9288,0.53
9289,0.53
9290,0.53
9291,0.53
9292,0.53
9293,0.53
9294,0.53
9295,0.53
9296,0.53
9297,0.53
9298,0.53
9299,0.53
9300,0.53
9301,0.53
9302,0.53
9303,0.53
9304,0.53
9305,0.53
9306,0.53
9307,0.53
9308,0.53
9309,0.53
9310,0.53
9311,0.53
9312,0.53
9313,0.53
9314,0.53
9315,0.53
9316,0.53
9317,0.53
9318,0.53
9319,0.53
9320,0.53
9321,0.53
9322,0.53
9323,0.53
9324,0.53
9325,0.53
9326,0.53
9327,0.53
9328,0.53
9329,0.53
9330,0.53
9331,0.53
9332,0.53
9333,0.53
9334,0.53
9335,0.53
9336,0.53
9337,0.53
9338,0.53
9339,0.53
9340,0.53
9341,0.53
9342,0.53
