cell_id,Density
9000,5.24
9001,5.24
9002,5.24
9003,5.24
9004,5.24
9005,5.24
9006,5.24
9007,5.24
9008,5.24
9009,5.24
9010,5.24
9011,5.24
9012,5.24
9013,5.24
9014,5.24
9015,5.24
9016,5.24
9017,5.24
9018,5.24
9019,5.24
9020,5.24
9021,5.24
9022,5.24
9023,5.24
9024,5.24
9025,5.24
9026,5.24
9027,5.24
9028,5.24
9029,5.24
9030,5.24
9031,5.24
9032,5.24
9033,5.24
9034,5.24
9035,5.24
9036,5.24
9037,5.24
9038,5.24
9039,5.24
9040,5.24
9041,5.24
9042,5.24
9043,5.24
9044,5.24
9045,5.24
9046,5.24
9047,5.24
9048,5.24
9049,5.24
9050,5.24
9051,5.24
9052,5.24
9053,5.24
9054,5.24
9055,5.24
9056,5.24
9057,5.24
9058,5.24
9059,5.24
9060,5.24
9061,5.24
9062,5.24
9063,5.24
9064,5.24
9065,5.24
9066,5.24
9067,5.24
9068,5.24
9069,5.24
9070,5.24
9071,5.24
9072,5.24
9073,5.24
9074,5.24
9075,5.24
9076,5.24
9077,5.24
9078,5.24
9079,5.24
9080,5.24
9081,5.24
9082,5.24
9083,5.24
9084,5.24
9085,5.24
9086,5.24
9087,5.24
9088,5.24
9089,5.24
9090,5.24
9091,5.24
9092,5.24
9093,5.24
9094,5.24
9095,5.24
9096,5.24
9097,5.24
9098,5.24
9099,5.24
9100,5.24
9101,5.24
9102,5.24
9103,5.24
9104,5.24
9105,5.24
9106,5.24
9107,5.24
9108,5.24
9109,5.24
9110,5.24
9111,5.24
9112,5.24
9113,5.24
9114,5.24
9115,5.24
9116,5.24
9117,5.24
9118,5.24
9119,5.24
9120,5.24
9121,5.24
9122,5.24
9123,5.24
9124,5.24
9125,5.24
9126,5.24
9127,5.24
9128,5.24
9129,5.24
9130,5.24
9131,5.24
9132,5.24
9133,5.24
9134,5.24
9135,5.24
9136,5.24
9137,5.24
9138,5.24
9139,5.24
9140,5.24
9141,5.24
9142,5.24
9143,5.24
9144,5.24
9145,5.24
9146,5.24
9147,5.24
9148,5.24
9149,5.24
9150,5.24
9151,5.24
9152,5.24
9153,5.24
9154,5.24
9155,5.24
9156,5.24
9157,5.24
9158,5.24
9159,5.24
9160,5.24
9161,5.24
9162,5.24
9163,5.24
9164,5.24
9165,5.24
9166,5.24
9167,5.24
9168,5.24
9169,5.24
9170,5.24
9171,5.24
9172,5.24
9173,5.24
9174,5.24
9175,5.24
9176,5.24
9177,5.24
9178,5.24
9179,5.24
9180,5.24
9181,5.24
9182,5.24
9183,5.24
9184,5.24
9185,5.24
9186,5.24
9187,5.24
9188,5.24
9189,5.24
9190,5.24
9191,5.24
9192,5.24
9193,5.24
9194,5.24
9195,5.24
9196,5.24
9197,5.24
9198,5.24
9199,5.24
9200,5.24
9201,5.24
9202,5.24
9203,5.24
9204,5.24
9205,5.24
9206,5.24
9207,5.24
9208,5.24
9209,5.24
9210,5.24
9211,5.24
9212,5.24
9213,5.24
9214,5.24
9215,5.24
9216,5.24
9217,5.24
9218,5.24
9219,5.24
9220,5.24
9221,5.24
9222,5.24
9223,5.24
9224,5.24
9225,5.24
9226,5.24
9227,5.24
9228,5.24
9229,5.24
9230,5.24
9231,5.24
9232,5.24
9233,5.24
9234,5.24
9235,5.24
9236,5.24
9237,5.24
9238,5.24
9239,5.24
9240,5.24
9241,5.24
9242,5.24
9243,5.24
9244,5.24
9245,5.24
9246,5.24
9247,5.24
9248,5.24
9249,5.24
9250,5.24
9251,5.24
9252,5.24
9253,5.24
9254,5.24
9255,5.24
9256,5.24
9257,5.24
9258,5.24
9259,5.24
9260,5.24
9261,5.24
9262,5.24
9263,5.24
9264,5.24
9265,5.24
9266,5.24
9267,5.24
9268,5.24
9269,5.24
9270,5.24
9271,5.24
9272,5.24
9273,5.24
9274,5.24
9275,5.24
9276,5.24
9277,5.24
9278,5.24
9279,5.24
9280,5.24
9281,5.24
9282,5.24
9283,5.24
9284,5.24
9285,5.24
9286,5.24
9287,5.24
9288,5.24
9289,5.24
9290,5.24
9291,5.24
9292,5.24
9293,5.24
9294,5.24
9295,5.24
9296,5.24
9297,5.24
9298,5.24
9299,5.24
9300,5.24
9301,5.24
9302,5.24
9303,5.24
9304,5.24
9305,5.24
9306,5.24
9307,5.24
9308,5.24
9309,5.24
9310,5.24
9311,5.24
9312,5.24
9313,5.24
9314,5.24
9315,5.24
9316,5.24
9317,5.24
9318,5.24
9319,5.24
9320,5.24
9321,5.24
9322,5.24
9323,5.24
9324,5.24
9325,5.24
9326,5.24
9327,5.24
9328,5.24
9329,5.24
9330,5.24
9331,5.24
9332,5.24
9333,5.24
9334,5.24
9335,5.24
9336,5.24
9337,5.24
9338,5.24
9339,5.24
9340,5.24
9341,5.24
9342,5.24
