cell_id,Density
9000,7.87
9001,7.87
9002,7.87
9003,7.87
9004,7.87
9005,7.87
9006,7.87
9007,7.87
9008,7.87
9009,7.87
9010,7.87
9011,7.87
9012,7.87
9013,7.87
9014,7.87
9015,7.87
9016,7.87
9017,7.87
9018,7.87
9019,7.87
9020,7.87
9021,7.87
9022,7.87
9023,7.87
9024,7.87
9025,7.87
9026,7.87
9027,7.87
9028,7.87
9029,7.87
9030,7.87
9031,7.87
9032,7.87
9033,7.87
9034,7.87
9035,7.87
9036,7.87
9037,7.87
9038,7.87
9039,7.87
9040,7.87
9041,7.87
9042,7.87
9043,7.87
9044,7.87
9045,7.87
9046,7.87
9047,7.87
9048,7.87
9049,7.87
9050,7.87
9051,7.87
9052,7.87
9053,7.87
9054,7.87
9055,7.87
9056,7.87
9057,7.87
9058,7.87
9059,7.87
9060,7.87
9061,7.87
9062,7.87
9063,7.87
9064,7.87
9065,7.87
9066,7.87
9067,7.87
9068,7.87
9069,7.87
9070,7.87
9071,7.87
9072,7.87
9073,7.87
9074,7.87
9075,7.87
9076,7.87
9077,7.87
9078,7.87
9079,7.87
9080,7.87
9081,7.87
9082,7.87
9083,7.87
9084,7.87
9085,7.87
9086,7.87
9087,7.87
9088,7.87
9089,7.87
9090,7.87
9091,7.87
9092,7.87
9093,7.87
9094,7.87
9095,7.87
9096,7.87
9097,7.87
9098,7.87
9099,7.87
9100,7.87
9101,7.87
9102,7.87
9103,7.87
9104,7.87
9105,7.87
9106,7.87
9107,7.87
9108,7.87
9109,7.87
9110,7.87
9111,7.87
9112,7.87
9113,7.87
9114,7.87
9115,7.87
9116,7.87
9117,7.87
9118,7.87
9119,7.87
9120,7.87
9121,7.87
9122,7.87
9123,7.87
9124,7.87
9125,7.87
9126,7.87
9127,7.87
9128,7.87
9129,7.87
9130,7.87
9131,7.87
9132,7.87
9133,7.87
9134,7.87
9135,7.87
9136,7.87
9137,7.87
9138,7.87
9139,7.87
9140,7.87
9141,7.87
9142,7.87
9143,7.87
9144,7.87
9145,7.87
9146,7.87
9147,7.87
9148,7.87
9149,7.87
9150,7.87
9151,7.87
9152,7.87
9153,7.87
9154,7.87
9155,7.87
9156,7.87
9157,7.87
9158,7.87
9159,7.87
9160,7.87
9161,7.87
9162,7.87
9163,7.87
9164,7.87
9165,7.87
9166,7.87
9167,7.87
9168,7.87
9169,7.87
9170,7.87
9171,7.87
9172,7.87
9173,7.87
9174,7.87
9175,7.87
9176,7.87
9177,7.87
9178,7.87
9179,7.87
9180,7.87
9181,7.87
9182,7.87
9183,7.87
9184,7.87
9185,7.87
9186,7.87
9187,7.87
9188,7.87
9189,7.87
9190,7.87
9191,7.87
9192,7.87
9193,7.87
9194,7.87
9195,7.87
9196,7.87
9197,7.87
9198,7.87
9199,7.87
9200,7.87
9201,7.87
9202,7.87
9203,7.87
9204,7.87
9205,7.87
9206,7.87
9207,7.87
9208,7.87
9209,7.87
9210,7.87
9211,7.87
9212,7.87
9213,7.87
9214,7.87
9215,7.87
9216,7.87
9217,7.87
9218,7.87
9219,7.87
9220,7.87
9221,7.87
9222,7.87
9223,7.87
9224,7.87
9225,7.87
9226,7.87
9227,7.87
9228,7.87
9229,7.87
9230,7.87
9231,7.87
9232,7.87
9233,7.87
9234,7.87
9235,7.87
9236,7.87
9237,7.87
9238,7.87
9239,7.87
9240,7.87
9241,7.87
9242,7.87
9243,7.87
9244,7.87
9245,7.87
9246,7.87
9247,7.87
9248,7.87
9249,7.87
9250,7.87
9251,7.87
9252,7.87
9253,7.87
9254,7.87
9255,7.87
9256,7.87
9257,7.87
9258,7.87
9259,7.87
9260,7.87
9261,7.87
9262,7.87
9263,7.87
9264,7.87
9265,7.87
9266,7.87
9267,7.87
9268,7.87
9269,7.87
9270,7.87
9271,7.87
9272,7.87
9273,7.87
9274,7.87
9275,7.87
9276,7.87
9277,7.87
9278,7.87
9279,7.87
9280,7.87
9281,7.87
9282,7.87
9283,7.87
9284,7.87
9285,7.87
9286,7.87
9287,7.87
9288,7.87
9289,7.87
9290,7.87
9291,7.87
9292,7.87
9293,7.87
9294,7.87
9295,7.87
9296,7.87
9297,7.87
9298,7.87
9299,7.87
9300,7.87
9301,7.87
9302,7.87
9303,7.87
9304,7.87
9305,7.87
9306,7.87
9307,7.87
9308,7.87
9309,7.87
9310,7.87
9311,7.87
9312,7.87
9313,7.87
9314,7.87
9315,7.87
9316,7.87
9317,7.87
9318,7.87
9319,7.87
9320,7.87
9321,7.87
9322,7.87
9323,7.87
9324,7.87
9325,7.87
9326,7.87
9327,7.87
9328,7.87
9329,7.87
9330,7.87
9331,7.87
9332,7.87
9333,7.87
9334,7.87
9335,7.87
9336,7.87
9337,7.87
9338,7.87
9339,7.87
9340,7.87
9341,7.87
9342,7.87
