cell_id,Density
9000,2.55
9001,2.55
9002,2.55
9003,2.55
9004,2.55
9005,2.55
9006,2.55
9007,2.55
9008,2.55
9009,2.55
9010,2.55
9011,2.55
9012,2.55
9013,2.55
9014,2.55
9015,2.55
9016,2.55
9017,2.55
9018,2.55
9019,2.55
9020,2.55
9021,2.55
9022,2.55
9023,2.55
9024,2.55
9025,2.55
9026,2.55
9027,2.55
9028,2.55
9029,2.55
9030,2.55
9031,2.55
9032,2.55
9033,2.55
9034,2.55
9035,2.55
9036,2.55
9037,2.55
9038,2.55
9039,2.55
9040,2.55
9041,2.55
9042,2.55
9043,2.55
9044,2.55
9045,2.55
9046,2.55
9047,2.55
9048,2.55
9049,2.55
9050,2.55
9051,2.55
9052,2.55
9053,2.55
9054,2.55
9055,2.55
9056,2.55
9057,2.55
9058,2.55
9059,2.55
9060,2.55
9061,2.55
9062,2.55
9063,2.55
9064,2.55
9065,2.55
9066,2.55
9067,2.55
9068,2.55
9069,2.55
9070,2.55
9071,2.55
9072,2.55
9073,2.55
9074,2.55
9075,2.55
9076,2.55
9077,2.55
9078,2.55
9079,2.55
9080,2.55
9081,2.55
9082,2.55
9083,2.55
9084,2.55
9085,2.55
9086,2.55
9087,2.55
9088,2.55
9089,2.55
9090,2.55
9091,2.55
9092,2.55
9093,2.55
9094,2.55
9095,2.55
9096,2.55
9097,2.55
9098,2.55
9099,2.55
9100,2.55
9101,2.55
9102,2.55
9103,2.55
9104,2.55
9105,2.55
9106,2.55
9107,2.55
9108,2.55
9109,2.55
9110,2.55
9111,2.55
9112,2.55
9113,2.55
9114,2.55
9115,2.55
9116,2.55
9117,2.55
9118,2.55
9119,2.55
9120,2.55
9121,2.55
9122,2.55
9123,2.55
9124,2.55
9125,2.55
9126,2.55
9127,2.55
9128,2.55
9129,2.55
9130,2.55
9131,2.55
9132,2.55
9133,2.55
9134,2.55
9135,2.55
9136,2.55
9137,2.55
9138,2.55
9139,2.55
9140,2.55
9141,2.55
9142,2.55
9143,2.55
9144,2.55
9145,2.55
9146,2.55
9147,2.55
9148,2.55
9149,2.55
9150,2.55
9151,2.55
9152,2.55
9153,2.55
9154,2.55
9155,2.55
9156,2.55
9157,2.55
9158,2.55
9159,2.55
9160,2.55
9161,2.55
9162,2.55
9163,2.55
9164,2.55
9165,2.55
9166,2.55
9167,2.55
9168,2.55
9169,2.55
9170,2.55
9171,2.55
9172,2.55
9173,2.55
9174,2.55
9175,2.55
9176,2.55
9177,2.55
9178,2.55
9179,2.55
9180,2.55
9181,2.55
9182,2.55
9183,2.55
9184,2.55
9185,2.55
9186,2.55
9187,2.55
9188,2.55
9189,2.55
9190,2.55
9191,2.55
9192,2.55
9193,2.55
9194,2.55
9195,2.55
9196,2.55
9197,2.55
9198,2.55
9199,2.55
9200,2.55
9201,2.55
9202,2.55
9203,2.55
9204,2.55
9205,2.55
9206,2.55
9207,2.55
9208,2.55
9209,2.55
9210,2.55
9211,2.55
9212,2.55
9213,2.55
9214,2.55
9215,2.55
9216,2.55
9217,2.55
9218,2.55
9219,2.55
9220,2.55
9221,2.55
9222,2.55
9223,2.55
9224,2.55
9225,2.55
9226,2.55
9227,2.55
9228,2.55
9229,2.55
9230,2.55
9231,2.55
9232,2.55
9233,2.55
9234,2.55
9235,2.55
9236,2.55
9237,2.55
9238,2.55
9239,2.55
9240,2.55
9241,2.55
9242,2.55
9243,2.55
9244,2.55
9245,2.55
9246,2.55
9247,2.55
9248,2.55
9249,2.55
9250,2.55
9251,2.55
9252,2.55
9253,2.55
9254,2.55
9255,2.55
9256,2.55
9257,2.55
9258,2.55
9259,2.55
9260,2.55
9261,2.55
9262,2.55
9263,2.55
9264,2.55
9265,2.55
9266,2.55
9267,2.55
9268,2.55
9269,2.55
9270,2.55
9271,2.55
9272,2.55
9273,2.55
9274,2.55
9275,2.55
9276,2.55
9277,2.55
9278,2.55
9279,2.55
9280,2.55
9281,2.55
9282,2.55
9283,2.55
9284,2.55
9285,2.55
9286,2.55
9287,2.55
9288,2.55
9289,2.55
9290,2.55
9291,2.55
9292,2.55
9293,2.55
9294,2.55
9295,2.55
9296,2.55
9297,2.55
9298,2.55
9299,2.55
9300,2.55
9301,2.55
9302,2.55
9303,2.55
9304,2.55
9305,2.55
9306,2.55
9307,2.55
9308,2.55
9309,2.55
9310,2.55
9311,2.55
9312,2.55
9313,2.55
9314,2.55
9315,2.55
9316,2.55
9317,2.55
9318,2.55
9319,2.55
9320,2.55
9321,2.55
9322,2.55
9323,2.55
9324,2.55
9325,2.55
9326,2.55
9327,2.55
9328,2.55
9329,2.55
9330,2.55
9331,2.55
9332,2.55
9333,2.55
9334,2.55
9335,2.55
9336,2.55
9337,2.55
9338,2.55
9339,2.55
9340,2.55
9341,2.55
9342,2.55
