cell_id,Density
9000,3.95
9001,3.95
9002,3.95
9003,3.95
9004,3.95
9005,3.95
9006,3.95
9007,3.95
9008,3.95
9009,3.95
9010,3.95
9011,3.95
9012,3.95
9013,3.95
9014,3.95
9015,3.95
9016,3.95
9017,3.95
9018,3.95
9019,3.95
9020,3.95
9021,3.95
9022,3.95
9023,3.95
9024,3.95
9025,3.95
9026,3.95
9027,3.95
9028,3.95
9029,3.95
9030,3.95
9031,3.95
9032,3.95
9033,3.95
9034,3.95
9035,3.95
9036,3.95
9037,3.95
9038,3.95
9039,3.95
9040,3.95
9041,3.95
9042,3.95
9043,3.95
9044,3.95
9045,3.95
9046,3.95
9047,3.95
9048,3.95
9049,3.95
9050,3.95
9051,3.95
9052,3.95
9053,3.95
9054,3.95
9055,3.95
9056,3.95
9057,3.95
9058,3.95
9059,3.95
9060,3.95
9061,3.95
9062,3.95
9063,3.95
9064,3.95
9065,3.95
9066,3.95
9067,3.95
9068,3.95
9069,3.95
9070,3.95
9071,3.95
9072,3.95
9073,3.95
9074,3.95
9075,3.95
9076,3.95
9077,3.95
9078,3.95
9079,3.95
9080,3.95
9081,3.95
9082,3.95
9083,3.95
9084,3.95
9085,3.95
9086,3.95
9087,3.95
9088,3.95
9089,3.95
9090,3.95
9091,3.95
9092,3.95
9093,3.95
9094,3.95
9095,3.95
9096,3.95
9097,3.95
9098,3.95
9099,3.95
9100,3.95
9101,3.95
9102,3.95
9103,3.95
9104,3.95
9105,3.95
9106,3.95
9107,3.95
9108,3.95
9109,3.95
9110,3.95
9111,3.95
9112,3.95
9113,3.95
9114,3.95
9115,3.95
9116,3.95
9117,3.95
9118,3.95
9119,3.95
9120,3.95
9121,3.95
9122,3.95
9123,3.95
9124,3.95
9125,3.95
9126,3.95
9127,3.95
9128,3.95
9129,3.95
9130,3.95
9131,3.95
9132,3.95
9133,3.95
9134,3.95
9135,3.95
9136,3.95
9137,3.95
9138,3.95
9139,3.95
9140,3.95
9141,3.95
9142,3.95
9143,3.95
9144,3.95
9145,3.95
9146,3.95
9147,3.95
9148,3.95
9149,3.95
9150,3.95
9151,3.95
9152,3.95
9153,3.95
9154,3.95
9155,3.95
9156,3.95
9157,3.95
9158,3.95
9159,3.95
9160,3.95
9161,3.95
9162,3.95
9163,3.95
9164,3.95
9165,3.95
9166,3.95
9167,3.95
9168,3.95
9169,3.95
9170,3.95
9171,3.95
9172,3.95
9173,3.95
9174,3.95
9175,3.95
9176,3.95
9177,3.95
9178,3.95
9179,3.95
9180,3.95
9181,3.95
9182,3.95
9183,3.95
9184,3.95
9185,3.95
9186,3.95
9187,3.95
9188,3.95
9189,3.95
9190,3.95
9191,3.95
9192,3.95
9193,3.95
9194,3.95
9195,3.95
9196,3.95
9197,3.95
9198,3.95
9199,3.95
9200,3.95
9201,3.95
9202,3.95
9203,3.95
9204,3.95
9205,3.95
9206,3.95
9207,3.95
9208,3.95
9209,3.95
9210,3.95
9211,3.95
9212,3.95
9213,3.95
9214,3.95
9215,3.95
9216,3.95
9217,3.95
9218,3.95
9219,3.95
9220,3.95
9221,3.95
9222,3.95
9223,3.95
9224,3.95
9225,3.95
9226,3.95
9227,3.95
9228,3.95
9229,3.95
9230,3.95
9231,3.95
9232,3.95
9233,3.95
9234,3.95
9235,3.95
9236,3.95
9237,3.95
9238,3.95
9239,3.95
9240,3.95
9241,3.95
9242,3.95
9243,3.95
9244,3.95
9245,3.95
9246,3.95
9247,3.95
9248,3.95
9249,3.95
9250,3.95
9251,3.95
9252,3.95
9253,3.95
9254,3.95
9255,3.95
9256,3.95
9257,3.95
9258,3.95
9259,3.95
9260,3.95
9261,3.95
9262,3.95
9263,3.95
9264,3.95
9265,3.95
9266,3.95
9267,3.95
9268,3.95
9269,3.95
9270,3.95
9271,3.95
9272,3.95
9273,3.95
9274,3.95
9275,3.95
9276,3.95
9277,3.95
9278,3.95
9279,3.95
9280,3.95
9281,3.95
9282,3.95
9283,3.95
9284,3.95
9285,3.95
9286,3.95
9287,3.95
9288,3.95
9289,3.95
9290,3.95
9291,3.95
9292,3.95
9293,3.95
9294,3.95
9295,3.95
9296,3.95
9297,3.95
9298,3.95
9299,3.95
9300,3.95
9301,3.95
9302,3.95
9303,3.95
9304,3.95
9305,3.95
9306,3.95
9307,3.95
9308,3.95
9309,3.95
9310,3.95
9311,3.95
9312,3.95
9313,3.95
9314,3.95
9315,3.95
9316,3.95
9317,3.95
9318,3.95
9319,3.95
9320,3.95
9321,3.95
9322,3.95
9323,3.95
9324,3.95
9325,3.95
9326,3.95
9327,3.95
9328,3.95
9329,3.95
9330,3.95
9331,3.95
9332,3.95
9333,3.95
9334,3.95
9335,3.95
9336,3.95
9337,3.95
9338,3.95
9339,3.95
9340,3.95
9341,3.95
9342,3.95
