cell_id,Density
9000,0.97
9001,0.97
9002,0.97
9003,0.97
9004,0.97
9005,0.97
9006,0.97
9007,0.97
9008,0.97
9009,0.97
9010,0.97
9011,0.97
9012,0.97
9013,0.97
9014,0.97
9015,0.97
9016,0.97
9017,0.97
9018,0.97
9019,0.97
9020,0.97
9021,0.97
9022,0.97
9023,0.97
9024,0.97
9025,0.97
9026,0.97
9027,0.97
9028,0.97
9029,0.97
9030,0.97
9031,0.97
9032,0.97
9033,0.97
9034,0.97
9035,0.97
9036,0.97
9037,0.97
9038,0.97
9039,0.97
9040,0.97
9041,0.97
9042,0.97
9043,0.97
9044,0.97
9045,0.97
9046,0.97
9047,0.97
9048,0.97
9049,0.97
9050,0.97
9051,0.97
9052,0.97
9053,0.97
9054,0.97
9055,0.97
9056,0.97
9057,0.97
9058,0.97
9059,0.97
9060,0.97
9061,0.97
9062,0.97
9063,0.97
9064,0.97
9065,0.97
9066,0.97
9067,0.97
9068,0.97
9069,0.97
9070,0.97
9071,0.97
9072,0.97
9073,0.97
9074,0.97
9075,0.97
9076,0.97
9077,0.97
9078,0.97
9079,0.97
9080,0.97
9081,0.97
9082,0.97
9083,0.97
9084,0.97
9085,0.97
9086,0.97
9087,0.97
9088,0.97
9089,0.97
9090,0.97
9091,0.97
9092,0.97
9093,0.97
9094,0.97
9095,0.97
9096,0.97
9097,0.97
9098,0.97
9099,0.97
9100,0.97
9101,0.97
9102,0.97
9103,0.97
9104,0.97
9105,0.97
9106,0.97
9107,0.97
9108,0.97
9109,0.97
9110,0.97
9111,0.97
9112,0.97
9113,0.97
9114,0.97
9115,0.97
9116,0.97
9117,0.97
9118,0.97
9119,0.97
9120,0.97
9121,0.97
9122,0.97
9123,0.97
9124,0.97
9125,0.97
9126,0.97
9127,0.97
9128,0.97
9129,0.97
9130,0.97
9131,0.97
9132,0.97
9133,0.97
9134,0.97
9135,0.97
9136,0.97
9137,0.97
9138,0.97
9139,0.97
9140,0.97
9141,0.97
9142,0.97
9143,0.97
9144,0.97
9145,0.97
9146,0.97
9147,0.97
9148,0.97
9149,0.97
9150,0.97
9151,0.97
9152,0.97
9153,0.97
9154,0.97
9155,0.97
9156,0.97
9157,0.97
9158,0.97
9159,0.97
9160,0.97
9161,0.97
9162,0.97
9163,0.97
9164,0.97
9165,0.97
9166,0.97
9167,0.97
9168,0.97
9169,0.97
9170,0.97
9171,0.97
9172,0.97
9173,0.97
9174,0.97
9175,0.97
9176,0.97
9177,0.97
9178,0.97
9179,0.97
9180,0.97
9181,0.97
9182,0.97
9183,0.97
9184,0.97
9185,0.97
9186,0.97
9187,0.97
9188,0.97
9189,0.97
9190,0.97
9191,0.97
9192,0.97
9193,0.97
9194,0.97
9195,0.97
9196,0.97
9197,0.97
9198,0.97
9199,0.97
9200,0.97
9201,0.97
9202,0.97
9203,0.97
9204,0.97
9205,0.97
9206,0.97
9207,0.97
9208,0.97
9209,0.97
9210,0.97
9211,0.97
9212,0.97
9213,0.97
9214,0.97
9215,0.97
9216,0.97
9217,0.97
9218,0.97
9219,0.97
9220,0.97
9221,0.97
9222,0.97
9223,0.97
9224,0.97
9225,0.97
9226,0.97
9227,0.97
9228,0.97
9229,0.97
9230,0.97
9231,0.97
9232,0.97
9233,0.97
9234,0.97
9235,0.97
9236,0.97
9237,0.97
9238,0.97
9239,0.97
9240,0.97
9241,0.97
9242,0.97
9243,0.97
9244,0.97
9245,0.97
9246,0.97
9247,0.97
9248,0.97
9249,0.97
9250,0.97
9251,0.97
9252,0.97
9253,0.97
9254,0.97
9255,0.97
9256,0.97
9257,0.97
9258,0.97
9259,0.97
9260,0.97
9261,0.97
9262,0.97
9263,0.97
9264,0.97
9265,0.97
9266,0.97
9267,0.97
9268,0.97
9269,0.97
9270,0.97
9271,0.97
9272,0.97
9273,0.97
9274,0.97
9275,0.97
9276,0.97
9277,0.97
9278,0.97
9279,0.97
9280,0.97
9281,0.97
9282,0.97
9283,0.97
9284,0.97
9285,0.97
9286,0.97
9287,0.97
9288,0.97
9289,0.97
9290,0.97
9291,0.97
9292,0.97
9293,0.97
9294,0.97
9295,0.97
9296,0.97
9297,0.97
9298,0.97
9299,0.97
9300,0.97
9301,0.97
9302,0.97
9303,0.97
9304,0.97
9305,0.97
9306,0.97
9307,0.97
9308,0.97
9309,0.97
9310,0.97
9311,0.97
9312,0.97
9313,0.97
9314,0.97
9315,0.97
9316,0.97
9317,0.97
9318,0.97
9319,0.97
9320,0.97
9321,0.97
9322,0.97
9323,0.97
9324,0.97
9325,0.97
9326,0.97
9327,0.97
9328,0.97
9329,0.97
9330,0.97
9331,0.97
9332,0.97
9333,0.97
9334,0.97
9335,0.97
9336,0.97
9337,0.97
9338,0.97
9339,0.97
9340,0.97
9341,0.97
9342,0.97
