cell_id,Density
9000,2.62
9001,2.62
9002,2.62
9003,2.62
9004,2.62
9005,2.62
9006,2.62
9007,2.62
9008,2.62
9009,2.62
9010,2.62
9011,2.62
9012,2.62
9013,2.62
9014,2.62
9015,2.62
9016,2.62
9017,2.62
9018,2.62
9019,2.62
9020,2.62
9021,2.62
9022,2.62
9023,2.62
9024,2.62
9025,2.62
9026,2.62
9027,2.62
9028,2.62
9029,2.62
9030,2.62
9031,2.62
9032,2.62
9033,2.62
9034,2.62
9035,2.62
9036,2.62
9037,2.62
9038,2.62
9039,2.62
9040,2.62
9041,2.62
9042,2.62
9043,2.62
9044,2.62
9045,2.62
9046,2.62
9047,2.62
9048,2.62
9049,2.62
9050,2.62
9051,2.62
9052,2.62
9053,2.62
9054,2.62
9055,2.62
9056,2.62
9057,2.62
9058,2.62
9059,2.62
9060,2.62
9061,2.62
9062,2.62
9063,2.62
9064,2.62
9065,2.62
9066,2.62
9067,2.62
9068,2.62
9069,2.62
9070,2.62
9071,2.62
9072,2.62
9073,2.62
9074,2.62
9075,2.62
9076,2.62
9077,2.62
9078,2.62
9079,2.62
9080,2.62
9081,2.62
9082,2.62
9083,2.62
9084,2.62
9085,2.62
9086,2.62
9087,2.62
9088,2.62
9089,2.62
9090,2.62
9091,2.62
9092,2.62
9093,2.62
9094,2.62
9095,2.62
9096,2.62
9097,2.62
9098,2.62
9099,2.62
9100,2.62
9101,2.62
9102,2.62
9103,2.62
9104,2.62
9105,2.62
9106,2.62
9107,2.62
9108,2.62
9109,2.62
9110,2.62
9111,2.62
9112,2.62
9113,2.62
9114,2.62
9115,2.62
9116,2.62
9117,2.62
9118,2.62
9119,2.62
9120,2.62
9121,2.62
9122,2.62
9123,2.62
9124,2.62
9125,2.62
9126,2.62
9127,2.62
9128,2.62
9129,2.62
9130,2.62
9131,2.62
9132,2.62
9133,2.62
9134,2.62
9135,2.62
9136,2.62
9137,2.62
9138,2.62
9139,2.62
9140,2.62
9141,2.62
9142,2.62
9143,2.62
9144,2.62
9145,2.62
9146,2.62
9147,2.62
9148,2.62
9149,2.62
9150,2.62
9151,2.62
9152,2.62
9153,2.62
9154,2.62
9155,2.62
9156,2.62
9157,2.62
9158,2.62
9159,2.62
9160,2.62
9161,2.62
9162,2.62
9163,2.62
9164,2.62
9165,2.62
9166,2.62
9167,2.62
9168,2.62
9169,2.62
9170,2.62
9171,2.62
9172,2.62
9173,2.62
9174,2.62
9175,2.62
9176,2.62
9177,2.62
9178,2.62
9179,2.62
9180,2.62
9181,2.62
9182,2.62
9183,2.62
9184,2.62
9185,2.62
9186,2.62
9187,2.62
9188,2.62
9189,2.62
9190,2.62
9191,2.62
9192,2.62
9193,2.62
9194,2.62
9195,2.62
9196,2.62
9197,2.62
9198,2.62
9199,2.62
9200,2.62
9201,2.62
9202,2.62
9203,2.62
9204,2.62
9205,2.62
9206,2.62
9207,2.62
9208,2.62
9209,2.62
9210,2.62
9211,2.62
9212,2.62
9213,2.62
9214,2.62
9215,2.62
9216,2.62
9217,2.62
9218,2.62
9219,2.62
9220,2.62
9221,2.62
9222,2.62
9223,2.62
9224,2.62
9225,2.62
9226,2.62
9227,2.62
9228,2.62
9229,2.62
9230,2.62
9231,2.62
9232,2.62
9233,2.62
9234,2.62
9235,2.62
9236,2.62
9237,2.62
9238,2.62
9239,2.62
9240,2.62
9241,2.62
9242,2.62
9243,2.62
9244,2.62
9245,2.62
9246,2.62
9247,2.62
9248,2.62
9249,2.62
9250,2.62
9251,2.62
9252,2.62
9253,2.62
9254,2.62
9255,2.62
9256,2.62
9257,2.62
9258,2.62
9259,2.62
9260,2.62
9261,2.62
9262,2.62
9263,2.62
9264,2.62
9265,2.62
9266,2.62
9267,2.62
9268,2.62
9269,2.62
9270,2.62
9271,2.62
9272,2.62
9273,2.62
9274,2.62
9275,2.62
9276,2.62
9277,2.62
9278,2.62
9279,2.62
9280,2.62
9281,2.62
9282,2.62
9283,2.62
9284,2.62
9285,2.62
9286,2.62
9287,2.62
9288,2.62
9289,2.62
9290,2.62
9291,2.62
9292,2.62
9293,2.62
9294,2.62
9295,2.62
9296,2.62
9297,2.62
9298,2.62
9299,2.62
9300,2.62
9301,2.62
9302,2.62
9303,2.62
9304,2.62
9305,2.62
9306,2.62
9307,2.62
9308,2.62
9309,2.62
9310,2.62
9311,2.62
9312,2.62
9313,2.62
9314,2.62
9315,2.62
9316,2.62
9317,2.62
9318,2.62
9319,2.62
9320,2.62
9321,2.62
9322,2.62
9323,2.62
9324,2.62
9325,2.62
9326,2.62
9327,2.62
9328,2.62
9329,2.62
9330,2.62
9331,2.62
9332,2.62
9333,2.62
9334,2.62
9335,2.62
9336,2.62
9337,2.62
9338,2.62
9339,2.62
9340,2.62
9341,2.62
9342,2.62
