cell_id,Density
9000,2.65
9001,2.65
9002,2.65
9003,2.65
9004,2.65
9005,2.65
9006,2.65
9007,2.65
9008,2.65
9009,2.65
9010,2.65
9011,2.65
9012,2.65
9013,2.65
9014,2.65
9015,2.65
9016,2.65
9017,2.65
9018,2.65
9019,2.65
9020,2.65
9021,2.65
9022,2.65
9023,2.65
9024,2.65
9025,2.65
9026,2.65
9027,2.65
9028,2.65
9029,2.65
9030,2.65
9031,2.65
9032,2.65
9033,2.65
9034,2.65
9035,2.65
9036,2.65
9037,2.65
9038,2.65
9039,2.65
9040,2.65
9041,2.65
9042,2.65
9043,2.65
9044,2.65
9045,2.65
9046,2.65
9047,2.65
9048,2.65
9049,2.65
9050,2.65
9051,2.65
9052,2.65
9053,2.65
9054,2.65
9055,2.65
9056,2.65
9057,2.65
9058,2.65
9059,2.65
9060,2.65
9061,2.65
9062,2.65
9063,2.65
9064,2.65
9065,2.65
9066,2.65
9067,2.65
9068,2.65
9069,2.65
9070,2.65
9071,2.65
9072,2.65
9073,2.65
9074,2.65
9075,2.65
9076,2.65
9077,2.65
9078,2.65
9079,2.65
9080,2.65
9081,2.65
9082,2.65
9083,2.65
9084,2.65
9085,2.65
9086,2.65
9087,2.65
9088,2.65
9089,2.65
9090,2.65
9091,2.65
9092,2.65
9093,2.65
9094,2.65
9095,2.65
9096,2.65
9097,2.65
9098,2.65
9099,2.65
9100,2.65
9101,2.65
9102,2.65
9103,2.65
9104,2.65
9105,2.65
9106,2.65
9107,2.65
9108,2.65
9109,2.65
9110,2.65
9111,2.65
9112,2.65
9113,2.65
9114,2.65
9115,2.65
9116,2.65
9117,2.65
9118,2.65
9119,2.65
9120,2.65
9121,2.65
9122,2.65
9123,2.65
9124,2.65
9125,2.65
9126,2.65
9127,2.65
9128,2.65
9129,2.65
9130,2.65
9131,2.65
9132,2.65
9133,2.65
9134,2.65
9135,2.65
9136,2.65
9137,2.65
9138,2.65
9139,2.65
9140,2.65
9141,2.65
9142,2.65
9143,2.65
9144,2.65
9145,2.65
9146,2.65
9147,2.65
9148,2.65
9149,2.65
9150,2.65
9151,2.65
9152,2.65
9153,2.65
9154,2.65
9155,2.65
9156,2.65
9157,2.65
9158,2.65
9159,2.65
9160,2.65
9161,2.65
9162,2.65
9163,2.65
9164,2.65
9165,2.65
9166,2.65
9167,2.65
9168,2.65
9169,2.65
9170,2.65
9171,2.65
9172,2.65
9173,2.65
9174,2.65
9175,2.65
9176,2.65
9177,2.65
9178,2.65
9179,2.65
9180,2.65
9181,2.65
9182,2.65
9183,2.65
9184,2.65
9185,2.65
9186,2.65
9187,2.65
9188,2.65
9189,2.65
9190,2.65
9191,2.65
9192,2.65
9193,2.65
9194,2.65
9195,2.65
9196,2.65
9197,2.65
9198,2.65
9199,2.65
9200,2.65
9201,2.65
9202,2.65
9203,2.65
9204,2.65
9205,2.65
9206,2.65
9207,2.65
9208,2.65
9209,2.65
9210,2.65
9211,2.65
9212,2.65
9213,2.65
9214,2.65
9215,2.65
9216,2.65
9217,2.65
9218,2.65
9219,2.65
9220,2.65
9221,2.65
9222,2.65
9223,2.65
9224,2.65
9225,2.65
9226,2.65
9227,2.65
9228,2.65
9229,2.65
9230,2.65
9231,2.65
9232,2.65
9233,2.65
9234,2.65
9235,2.65
9236,2.65
9237,2.65
9238,2.65
9239,2.65
9240,2.65
9241,2.65
9242,2.65
9243,2.65
9244,2.65
9245,2.65
9246,2.65
9247,2.65
9248,2.65
9249,2.65
9250,2.65
9251,2.65
9252,2.65
9253,2.65
9254,2.65
9255,2.65
9256,2.65
9257,2.65
9258,2.65
9259,2.65
9260,2.65
9261,2.65
9262,2.65
9263,2.65
9264,2.65
9265,2.65
9266,2.65
9267,2.65
9268,2.65
9269,2.65
9270,2.65
9271,2.65
9272,2.65
9273,2.65
9274,2.65
9275,2.65
9276,2.65
9277,2.65
9278,2.65
9279,2.65
9280,2.65
9281,2.65
9282,2.65
9283,2.65
9284,2.65
9285,2.65
9286,2.65
9287,2.65
9288,2.65
9289,2.65
9290,2.65
9291,2.65
9292,2.65
9293,2.65
9294,2.65
9295,2.65
9296,2.65
9297,2.65
9298,2.65
9299,2.65
9300,2.65
9301,2.65
9302,2.65
9303,2.65
9304,2.65
9305,2.65
9306,2.65
9307,2.65
9308,2.65
9309,2.65
9310,2.65
9311,2.65
9312,2.65
9313,2.65
9314,2.65
9315,2.65
9316,2.65
9317,2.65
9318,2.65
9319,2.65
9320,2.65
9321,2.65
9322,2.65
9323,2.65
9324,2.65
9325,2.65
9326,2.65
9327,2.65
9328,2.65
9329,2.65
9330,2.65
9331,2.65
9332,2.65
9333,2.65
9334,2.65
9335,2.65
9336,2.65
9337,2.65
9338,2.65
9339,2.65
9340,2.65
9341,2.65
9342,2.65
