cell_id,Density
9000,2.33
9001,2.33
9002,2.33
9003,2.33
9004,2.33
9005,2.33
9006,2.33
9007,2.33
9008,2.33
9009,2.33
9010,2.33
9011,2.33
9012,2.33
9013,2.33
9014,2.33
9015,2.33
9016,2.33
9017,2.33
9018,2.33
9019,2.33
9020,2.33
9021,2.33
9022,2.33
9023,2.33
9024,2.33
9025,2.33
9026,2.33
9027,2.33
9028,2.33
9029,2.33
9030,2.33
9031,2.33
9032,2.33
9033,2.33
9034,2.33
9035,2.33
9036,2.33
9037,2.33
9038,2.33
9039,2.33
9040,2.33
9041,2.33
9042,2.33
9043,2.33
9044,2.33
9045,2.33
9046,2.33
9047,2.33
9048,2.33
9049,2.33
9050,2.33
9051,2.33
9052,2.33
9053,2.33
9054,2.33
9055,2.33
9056,2.33
9057,2.33
9058,2.33
9059,2.33
9060,2.33
9061,2.33
9062,2.33
9063,2.33
9064,2.33
9065,2.33
9066,2.33
9067,2.33
9068,2.33
9069,2.33
9070,2.33
9071,2.33
9072,2.33
9073,2.33
9074,2.33
9075,2.33
9076,2.33
9077,2.33
9078,2.33
9079,2.33
9080,2.33
9081,2.33
9082,2.33
9083,2.33
9084,2.33
9085,2.33
9086,2.33
9087,2.33
9088,2.33
9089,2.33
9090,2.33
9091,2.33
9092,2.33
9093,2.33
9094,2.33
9095,2.33
9096,2.33
9097,2.33
9098,2.33
9099,2.33
9100,2.33
9101,2.33
9102,2.33
9103,2.33
9104,2.33
9105,2.33
9106,2.33
9107,2.33
9108,2.33
9109,2.33
9110,2.33
9111,2.33
9112,2.33
9113,2.33
9114,2.33
9115,2.33
9116,2.33
9117,2.33
9118,2.33
9119,2.33
9120,2.33
9121,2.33
9122,2.33
9123,2.33
9124,2.33
9125,2.33
9126,2.33
9127,2.33
9128,2.33
9129,2.33
9130,2.33
9131,2.33
9132,2.33
9133,2.33
9134,2.33
9135,2.33
9136,2.33
9137,2.33
9138,2.33
9139,2.33
9140,2.33
9141,2.33
9142,2.33
9143,2.33
9144,2.33
9145,2.33
9146,2.33
9147,2.33
9148,2.33
9149,2.33
9150,2.33
9151,2.33
9152,2.33
9153,2.33
9154,2.33
9155,2.33
9156,2.33
9157,2.33
9158,2.33
9159,2.33
9160,2.33
9161,2.33
9162,2.33
9163,2.33
9164,2.33
9165,2.33
9166,2.33
9167,2.33
9168,2.33
9169,2.33
9170,2.33
9171,2.33
9172,2.33
9173,2.33
9174,2.33
9175,2.33
9176,2.33
9177,2.33
9178,2.33
9179,2.33
9180,2.33
9181,2.33
9182,2.33
9183,2.33
9184,2.33
9185,2.33
9186,2.33
9187,2.33
9188,2.33
9189,2.33
9190,2.33
9191,2.33
9192,2.33
9193,2.33
9194,2.33
9195,2.33
9196,2.33
9197,2.33
9198,2.33
9199,2.33
9200,2.33
9201,2.33
9202,2.33
9203,2.33
9204,2.33
9205,2.33
9206,2.33
9207,2.33
9208,2.33
9209,2.33
9210,2.33
9211,2.33
9212,2.33
9213,2.33
9214,2.33
9215,2.33
9216,2.33
9217,2.33
9218,2.33
9219,2.33
9220,2.33
9221,2.33
9222,2.33
9223,2.33
9224,2.33
9225,2.33
9226,2.33
9227,2.33
9228,2.33
9229,2.33
9230,2.33
9231,2.33
9232,2.33
9233,2.33
9234,2.33
9235,2.33
9236,2.33
9237,2.33
9238,2.33
9239,2.33
9240,2.33
9241,2.33
9242,2.33
9243,2.33
9244,2.33
9245,2.33
9246,2.33
9247,2.33
9248,2.33
9249,2.33
9250,2.33
9251,2.33
9252,2.33
9253,2.33
9254,2.33
9255,2.33
9256,2.33
9257,2.33
9258,2.33
9259,2.33
9260,2.33
9261,2.33
9262,2.33
9263,2.33
9264,2.33
9265,2.33
9266,2.33
9267,2.33
9268,2.33
9269,2.33
9270,2.33
9271,2.33
9272,2.33
9273,2.33
9274,2.33
9275,2.33
9276,2.33
9277,2.33
9278,2.33
9279,2.33
9280,2.33
9281,2.33
9282,2.33
9283,2.33
9284,2.33
9285,2.33
9286,2.33
9287,2.33
9288,2.33
9289,2.33
9290,2.33
9291,2.33
9292,2.33
9293,2.33
9294,2.33
9295,2.33
9296,2.33
9297,2.33
9298,2.33
9299,2.33
9300,2.33
9301,2.33
9302,2.33
9303,2.33
9304,2.33
9305,2.33
9306,2.33
9307,2.33
9308,2.33
9309,2.33
9310,2.33
9311,2.33
9312,2.33
9313,2.33
9314,2.33
9315,2.33
9316,2.33
9317,2.33
9318,2.33
9319,2.33
9320,2.33
9321,2.33
9322,2.33
9323,2.33
9324,2.33
9325,2.33
9326,2.33
9327,2.33
9328,2.33
9329,2.33
9330,2.33
9331,2.33
9332,2.33
9333,2.33
9334,2.33
9335,2.33
9336,2.33
9337,2.33
9338,2.33
9339,2.33
9340,2.33
9341,2.33
9342,2.33
