cell_id,Density
9000,2.32
9001,2.32
9002,2.32
9003,2.32
9004,2.32
9005,2.32
9006,2.32
9007,2.32
9008,2.32
9009,2.32
9010,2.32
9011,2.32
9012,2.32
9013,2.32
9014,2.32
9015,2.32
9016,2.32
9017,2.32
9018,2.32
9019,2.32
9020,2.32
9021,2.32
9022,2.32
9023,2.32
9024,2.32
9025,2.32
9026,2.32
9027,2.32
9028,2.32
9029,2.32
9030,2.32
9031,2.32
9032,2.32
9033,2.32
9034,2.32
9035,2.32
9036,2.32
9037,2.32
9038,2.32
9039,2.32
9040,2.32
9041,2.32
9042,2.32
9043,2.32
9044,2.32
9045,2.32
9046,2.32
9047,2.32
9048,2.32
9049,2.32
9050,2.32
9051,2.32
9052,2.32
9053,2.32
9054,2.32
9055,2.32
9056,2.32
9057,2.32
9058,2.32
9059,2.32
9060,2.32
9061,2.32
9062,2.32
9063,2.32
9064,2.32
9065,2.32
9066,2.32
9067,2.32
9068,2.32
9069,2.32
9070,2.32
9071,2.32
9072,2.32
9073,2.32
9074,2.32
9075,2.32
9076,2.32
9077,2.32
9078,2.32
9079,2.32
9080,2.32
9081,2.32
9082,2.32
9083,2.32
9084,2.32
9085,2.32
9086,2.32
9087,2.32
9088,2.32
9089,2.32
9090,2.32
9091,2.32
9092,2.32
9093,2.32
9094,2.32
9095,2.32
9096,2.32
9097,2.32
9098,2.32
9099,2.32
9100,2.32
9101,2.32
9102,2.32
9103,2.32
9104,2.32
9105,2.32
9106,2.32
9107,2.32
9108,2.32
9109,2.32
9110,2.32
9111,2.32
9112,2.32
9113,2.32
9114,2.32
9115,2.32
9116,2.32
9117,2.32
9118,2.32
9119,2.32
9120,2.32
9121,2.32
9122,2.32
9123,2.32
9124,2.32
9125,2.32
9126,2.32
9127,2.32
9128,2.32
9129,2.32
9130,2.32
9131,2.32
9132,2.32
9133,2.32
9134,2.32
9135,2.32
9136,2.32
9137,2.32
9138,2.32
9139,2.32
9140,2.32
9141,2.32
9142,2.32
9143,2.32
9144,2.32
9145,2.32
9146,2.32
9147,2.32
9148,2.32
9149,2.32
9150,2.32
9151,2.32
9152,2.32
9153,2.32
9154,2.32
9155,2.32
9156,2.32
9157,2.32
9158,2.32
9159,2.32
9160,2.32
9161,2.32
9162,2.32
9163,2.32
9164,2.32
9165,2.32
9166,2.32
9167,2.32
9168,2.32
9169,2.32
9170,2.32
9171,2.32
9172,2.32
9173,2.32
9174,2.32
9175,2.32
9176,2.32
9177,2.32
9178,2.32
9179,2.32
9180,2.32
9181,2.32
9182,2.32
9183,2.32
9184,2.32
9185,2.32
9186,2.32
9187,2.32
9188,2.32
9189,2.32
9190,2.32
9191,2.32
9192,2.32
9193,2.32
9194,2.32
9195,2.32
9196,2.32
9197,2.32
9198,2.32
9199,2.32
9200,2.32
9201,2.32
9202,2.32
9203,2.32
9204,2.32
9205,2.32
9206,2.32
9207,2.32
9208,2.32
9209,2.32
9210,2.32
9211,2.32
9212,2.32
9213,2.32
9214,2.32
9215,2.32
9216,2.32
9217,2.32
9218,2.32
9219,2.32
9220,2.32
9221,2.32
9222,2.32
9223,2.32
9224,2.32
9225,2.32
9226,2.32
9227,2.32
9228,2.32
9229,2.32
9230,2.32
9231,2.32
9232,2.32
9233,2.32
9234,2.32
9235,2.32
9236,2.32
9237,2.32
9238,2.32
9239,2.32
9240,2.32
9241,2.32
9242,2.32
9243,2.32
9244,2.32
9245,2.32
9246,2.32
9247,2.32
9248,2.32
9249,2.32
9250,2.32
9251,2.32
9252,2.32
9253,2.32
9254,2.32
9255,2.32
9256,2.32
9257,2.32
9258,2.32
9259,2.32
9260,2.32
9261,2.32
9262,2.32
9263,2.32
9264,2.32
9265,2.32
9266,2.32
9267,2.32
9268,2.32
9269,2.32
9270,2.32
9271,2.32
9272,2.32
9273,2.32
9274,2.32
9275,2.32
9276,2.32
9277,2.32
9278,2.32
9279,2.32
9280,2.32
9281,2.32
9282,2.32
9283,2.32
9284,2.32
9285,2.32
9286,2.32
9287,2.32
9288,2.32
9289,2.32
9290,2.32
9291,2.32
9292,2.32
9293,2.32
9294,2.32
9295,2.32
9296,2.32
9297,2.32
9298,2.32
9299,2.32
9300,2.32
9301,2.32
9302,2.32
9303,2.32
9304,2.32
9305,2.32
9306,2.32
9307,2.32
9308,2.32
9309,2.32
9310,2.32
9311,2.32
9312,2.32
9313,2.32
9314,2.32
9315,2.32
9316,2.32
9317,2.32
9318,2.32
9319,2.32
9320,2.32
9321,2.32
9322,2.32
9323,2.32
9324,2.32
9325,2.32
9326,2.32
9327,2.32
9328,2.32
9329,2.32
9330,2.32
9331,2.32
9332,2.32
9333,2.32
9334,2.32
9335,2.32
9336,2.32
9337,2.32
9338,2.32
9339,2.32
9340,2.32
9341,2.32
9342,2.32
