cell_id,Density
9000,2.785
9001,2.785
9002,2.785
9003,2.785
9004,2.785
9005,2.785
9006,2.785
9007,2.785
9008,2.785
9009,2.785
9010,2.785
9011,2.785
9012,2.785
9013,2.785
9014,2.785
9015,2.785
9016,2.785
9017,2.785
9018,2.785
9019,2.785
9020,2.785
9021,2.785
9022,2.785
9023,2.785
9024,2.785
9025,2.785
9026,2.785
9027,2.785
9028,2.785
9029,2.785
9030,2.785
9031,2.785
9032,2.785
9033,2.785
9034,2.785
9035,2.785
9036,2.785
9037,2.785
9038,2.785
9039,2.785
9040,2.785
9041,2.785
9042,2.785
9043,2.785
9044,2.785
9045,2.785
9046,2.785
9047,2.785
9048,2.785
9049,2.785
9050,2.785
9051,2.785
9052,2.785
9053,2.785
9054,2.785
9055,2.785
9056,2.785
9057,2.785
9058,2.785
9059,2.785
9060,2.785
9061,2.785
9062,2.785
9063,2.785
9064,2.785
9065,2.785
9066,2.785
9067,2.785
9068,2.785
9069,2.785
9070,2.785
9071,2.785
9072,2.785
9073,2.785
9074,2.785
9075,2.785
9076,2.785
9077,2.785
9078,2.785
9079,2.785
9080,2.785
9081,2.785
9082,2.785
9083,2.785
9084,2.785
9085,2.785
9086,2.785
9087,2.785
9088,2.785
9089,2.785
9090,2.785
9091,2.785
9092,2.785
9093,2.785
9094,2.785
9095,2.785
9096,2.785
9097,2.785
9098,2.785
9099,2.785
9100,2.785
9101,2.785
9102,2.785
9103,2.785
9104,2.785
9105,2.785
9106,2.785
9107,2.785
9108,2.785
9109,2.785
9110,2.785
9111,2.785
9112,2.785
9113,2.785
9114,2.785
9115,2.785
9116,2.785
9117,2.785
9118,2.785
9119,2.785
9120,2.785
9121,2.785
9122,2.785
9123,2.785
9124,2.785
9125,2.785
9126,2.785
9127,2.785
9128,2.785
9129,2.785
9130,2.785
9131,2.785
9132,2.785
9133,2.785
9134,2.785
9135,2.785
9136,2.785
9137,2.785
9138,2.785
9139,2.785
9140,2.785
9141,2.785
9142,2.785
9143,2.785
9144,2.785
9145,2.785
9146,2.785
9147,2.785
9148,2.785
9149,2.785
9150,2.785
9151,2.785
9152,2.785
9153,2.785
9154,2.785
9155,2.785
9156,2.785
9157,2.785
9158,2.785
9159,2.785
9160,2.785
9161,2.785
9162,2.785
9163,2.785
9164,2.785
9165,2.785
9166,2.785
9167,2.785
9168,2.785
9169,2.785
9170,2.785
9171,2.785
9172,2.785
9173,2.785
9174,2.785
9175,2.785
9176,2.785
9177,2.785
9178,2.785
9179,2.785
9180,2.785
9181,2.785
9182,2.785
9183,2.785
9184,2.785
9185,2.785
9186,2.785
9187,2.785
9188,2.785
9189,2.785
9190,2.785
9191,2.785
9192,2.785
9193,2.785
9194,2.785
9195,2.785
9196,2.785
9197,2.785
9198,2.785
9199,2.785
9200,2.785
9201,2.785
9202,2.785
9203,2.785
9204,2.785
9205,2.785
9206,2.785
9207,2.785
9208,2.785
9209,2.785
9210,2.785
9211,2.785
9212,2.785
9213,2.785
9214,2.785
9215,2.785
9216,2.785
9217,2.785
9218,2.785
9219,2.785
9220,2.785
9221,2.785
9222,2.785
9223,2.785
9224,2.785
9225,2.785
9226,2.785
9227,2.785
9228,2.785
9229,2.785
9230,2.785
9231,2.785
9232,2.785
9233,2.785
9234,2.785
9235,2.785
9236,2.785
9237,2.785
9238,2.785
9239,2.785
9240,2.785
9241,2.785
9242,2.785
9243,2.785
9244,2.785
9245,2.785
9246,2.785
9247,2.785
9248,2.785
9249,2.785
9250,2.785
9251,2.785
9252,2.785
9253,2.785
9254,2.785
9255,2.785
9256,2.785
9257,2.785
9258,2.785
9259,2.785
9260,2.785
9261,2.785
9262,2.785
9263,2.785
9264,2.785
9265,2.785
9266,2.785
9267,2.785
9268,2.785
9269,2.785
9270,2.785
9271,2.785
9272,2.785
9273,2.785
9274,2.785
9275,2.785
9276,2.785
9277,2.785
9278,2.785
9279,2.785
9280,2.785
9281,2.785
9282,2.785
9283,2.785
9284,2.785
9285,2.785
9286,2.785
9287,2.785
9288,2.785
9289,2.785
9290,2.785
9291,2.785
9292,2.785
9293,2.785
9294,2.785
9295,2.785
9296,2.785
9297,2.785
9298,2.785
9299,2.785
9300,2.785
9301,2.785
9302,2.785
9303,2.785
9304,2.785
9305,2.785
9306,2.785
9307,2.785
9308,2.785
9309,2.785
9310,2.785
9311,2.785
9312,2.785
9313,2.785
9314,2.785
9315,2.785
9316,2.785
9317,2.785
9318,2.785
9319,2.785
9320,2.785
9321,2.785
9322,2.785
9323,2.785
9324,2.785
9325,2.785
9326,2.785
9327,2.785
9328,2.785
9329,2.785
9330,2.785
9331,2.785
9332,2.785
9333,2.785
9334,2.785
9335,2.785
9336,2.785
9337,2.785
9338,2.785
9339,2.785
9340,2.785
9341,2.785
9342,2.785
