filename,n_90,n_95,n_99,n_100,n_total
7x7x7_Si_001000,27,48,118,343,343
7x7x7_Al_001001,25,45,104,315,343
7x7x7_H_001002,34,42,52,343,343
7x7x7_Na_001003,76,119,205,316,343
7x7x7_O_001004,67,83,115,343,343
7x7x7_Fe_001005,8,15,48,343,343
7x7x7_Mg_001006,30,51,124,316,343
7x7x7_C_001007,23,37,84,308,343
7x7x7_SiO2_001008,22,38,89,307,343
7x7x7_Al2O3_001009,12,21,54,275,343
7x7x7_H2O_001010,33,53,113,343,343
7x7x7_Na2O_001011,30,51,117,313,343
7x7x7_Fe2O3_001012,11,18,50,287,343
7x7x7_MgO_001013,17,29,74,343,343
7x7x7_Silica_001014,27,47,108,343,343
7x7x7_Kaolinite_001015,9,14,38,204,343
7x7x7_Smectite_001016,18,30,73,343,343
7x7x7_Montmorillonite_001017,21,35,83,343,343
7x7x7_Quartz_001018,23,39,90,311,343
7x7x7_Chlorite_001019,15,26,65,343,343
7x7x7_Mica_001020,17,28,69,290,343
7x7x7_Feldspar_001021,24,41,95,313,343
7x7x7_Coconut_001022,96,139,226,316,343
