cell_id,Density
9000,2.348
9001,2.348
9002,2.348
9003,2.348
9004,2.348
9005,2.348
9006,2.348
9007,2.348
9008,2.348
9009,2.348
9010,2.348
9011,2.348
9012,2.348
9013,2.348
9014,2.348
9015,2.348
9016,2.348
9017,2.348
9018,2.348
9019,2.348
9020,2.348
9021,2.348
9022,2.348
9023,2.348
9024,2.348
9025,2.348
9026,2.348
9027,2.348
9028,2.348
9029,2.348
9030,2.348
9031,2.348
9032,2.348
9033,2.348
9034,2.348
9035,2.348
9036,2.348
9037,2.348
9038,2.348
9039,2.348
9040,2.348
9041,2.348
9042,2.348
9043,2.348
9044,2.348
9045,2.348
9046,2.348
9047,2.348
9048,2.348
9049,2.348
9050,2.348
9051,2.348
9052,2.348
9053,2.348
9054,2.348
9055,2.348
9056,2.348
9057,2.348
9058,2.348
9059,2.348
9060,2.348
9061,2.348
9062,2.348
9063,2.348
9064,2.348
9065,2.348
9066,2.348
9067,2.348
9068,2.348
9069,2.348
9070,2.348
9071,2.348
9072,2.348
9073,2.348
9074,2.348
9075,2.348
9076,2.348
9077,2.348
9078,2.348
9079,2.348
9080,2.348
9081,2.348
9082,2.348
9083,2.348
9084,2.348
9085,2.348
9086,2.348
9087,2.348
9088,2.348
9089,2.348
9090,2.348
9091,2.348
9092,2.348
9093,2.348
9094,2.348
9095,2.348
9096,2.348
9097,2.348
9098,2.348
9099,2.348
9100,2.348
9101,2.348
9102,2.348
9103,2.348
9104,2.348
9105,2.348
9106,2.348
9107,2.348
9108,2.348
9109,2.348
9110,2.348
9111,2.348
9112,2.348
9113,2.348
9114,2.348
9115,2.348
9116,2.348
9117,2.348
9118,2.348
9119,2.348
9120,2.348
9121,2.348
9122,2.348
9123,2.348
9124,2.348
9125,2.348
9126,2.348
9127,2.348
9128,2.348
9129,2.348
9130,2.348
9131,2.348
9132,2.348
9133,2.348
9134,2.348
9135,2.348
9136,2.348
9137,2.348
9138,2.348
9139,2.348
9140,2.348
9141,2.348
9142,2.348
9143,2.348
9144,2.348
9145,2.348
9146,2.348
9147,2.348
9148,2.348
9149,2.348
9150,2.348
9151,2.348
9152,2.348
9153,2.348
9154,2.348
9155,2.348
9156,2.348
9157,2.348
9158,2.348
9159,2.348
9160,2.348
9161,2.348
9162,2.348
9163,2.348
9164,2.348
9165,2.348
9166,2.348
9167,2.348
9168,2.348
9169,2.348
9170,2.348
9171,2.348
9172,2.348
9173,2.348
9174,2.348
9175,2.348
9176,2.348
9177,2.348
9178,2.348
9179,2.348
9180,2.348
9181,2.348
9182,2.348
9183,2.348
9184,2.348
9185,2.348
9186,2.348
9187,2.348
9188,2.348
9189,2.348
9190,2.348
9191,2.348
9192,2.348
9193,2.348
9194,2.348
9195,2.348
9196,2.348
9197,2.348
9198,2.348
9199,2.348
9200,2.348
9201,2.348
9202,2.348
9203,2.348
9204,2.348
9205,2.348
9206,2.348
9207,2.348
9208,2.348
9209,2.348
9210,2.348
9211,2.348
9212,2.348
9213,2.348
9214,2.348
9215,2.348
9216,2.348
9217,2.348
9218,2.348
9219,2.348
9220,2.348
9221,2.348
9222,2.348
9223,2.348
9224,2.348
9225,2.348
9226,2.348
9227,2.348
9228,2.348
9229,2.348
9230,2.348
9231,2.348
9232,2.348
9233,2.348
9234,2.348
9235,2.348
9236,2.348
9237,2.348
9238,2.348
9239,2.348
9240,2.348
9241,2.348
9242,2.348
9243,2.348
9244,2.348
9245,2.348
9246,2.348
9247,2.348
9248,2.348
9249,2.348
9250,2.348
9251,2.348
9252,2.348
9253,2.348
9254,2.348
9255,2.348
9256,2.348
9257,2.348
9258,2.348
9259,2.348
9260,2.348
9261,2.348
9262,2.348
9263,2.348
9264,2.348
9265,2.348
9266,2.348
9267,2.348
9268,2.348
9269,2.348
9270,2.348
9271,2.348
9272,2.348
9273,2.348
9274,2.348
9275,2.348
9276,2.348
9277,2.348
9278,2.348
9279,2.348
9280,2.348
9281,2.348
9282,2.348
9283,2.348
9284,2.348
9285,2.348
9286,2.348
9287,2.348
9288,2.348
9289,2.348
9290,2.348
9291,2.348
9292,2.348
9293,2.348
9294,2.348
9295,2.348
9296,2.348
9297,2.348
9298,2.348
9299,2.348
9300,2.348
9301,2.348
9302,2.348
9303,2.348
9304,2.348
9305,2.348
9306,2.348
9307,2.348
9308,2.348
9309,2.348
9310,2.348
9311,2.348
9312,2.348
9313,2.348
9314,2.348
9315,2.348
9316,2.348
9317,2.348
9318,2.348
9319,2.348
9320,2.348
9321,2.348
9322,2.348
9323,2.348
9324,2.348
9325,2.348
9326,2.348
9327,2.348
9328,2.348
9329,2.348
9330,2.348
9331,2.348
9332,2.348
9333,2.348
9334,2.348
9335,2.348
9336,2.348
9337,2.348
9338,2.348
9339,2.348
9340,2.348
9341,2.348
9342,2.348
