cell_id,Density
9000,2.146
9001,2.146
9002,2.146
9003,2.146
9004,2.146
9005,2.146
9006,2.146
9007,2.146
9008,2.146
9009,2.146
9010,2.146
9011,2.146
9012,2.146
9013,2.146
9014,2.146
9015,2.146
9016,2.146
9017,2.146
9018,2.146
9019,2.146
9020,2.146
9021,2.146
9022,2.146
9023,2.146
9024,2.146
9025,2.146
9026,2.146
9027,2.146
9028,2.146
9029,2.146
9030,2.146
9031,2.146
9032,2.146
9033,2.146
9034,2.146
9035,2.146
9036,2.146
9037,2.146
9038,2.146
9039,2.146
9040,2.146
9041,2.146
9042,2.146
9043,2.146
9044,2.146
9045,2.146
9046,2.146
9047,2.146
9048,2.146
9049,2.146
9050,2.146
9051,2.146
9052,2.146
9053,2.146
9054,2.146
9055,2.146
9056,2.146
9057,2.146
9058,2.146
9059,2.146
9060,2.146
9061,2.146
9062,2.146
9063,2.146
9064,2.146
9065,2.146
9066,2.146
9067,2.146
9068,2.146
9069,2.146
9070,2.146
9071,2.146
9072,2.146
9073,2.146
9074,2.146
9075,2.146
9076,2.146
9077,2.146
9078,2.146
9079,2.146
9080,2.146
9081,2.146
9082,2.146
9083,2.146
9084,2.146
9085,2.146
9086,2.146
9087,2.146
9088,2.146
9089,2.146
9090,2.146
9091,2.146
9092,2.146
9093,2.146
9094,2.146
9095,2.146
9096,2.146
9097,2.146
9098,2.146
9099,2.146
9100,2.146
9101,2.146
9102,2.146
9103,2.146
9104,2.146
9105,2.146
9106,2.146
9107,2.146
9108,2.146
9109,2.146
9110,2.146
9111,2.146
9112,2.146
9113,2.146
9114,2.146
9115,2.146
9116,2.146
9117,2.146
9118,2.146
9119,2.146
9120,2.146
9121,2.146
9122,2.146
9123,2.146
9124,2.146
9125,2.146
9126,2.146
9127,2.146
9128,2.146
9129,2.146
9130,2.146
9131,2.146
9132,2.146
9133,2.146
9134,2.146
9135,2.146
9136,2.146
9137,2.146
9138,2.146
9139,2.146
9140,2.146
9141,2.146
9142,2.146
9143,2.146
9144,2.146
9145,2.146
9146,2.146
9147,2.146
9148,2.146
9149,2.146
9150,2.146
9151,2.146
9152,2.146
9153,2.146
9154,2.146
9155,2.146
9156,2.146
9157,2.146
9158,2.146
9159,2.146
9160,2.146
9161,2.146
9162,2.146
9163,2.146
9164,2.146
9165,2.146
9166,2.146
9167,2.146
9168,2.146
9169,2.146
9170,2.146
9171,2.146
9172,2.146
9173,2.146
9174,2.146
9175,2.146
9176,2.146
9177,2.146
9178,2.146
9179,2.146
9180,2.146
9181,2.146
9182,2.146
9183,2.146
9184,2.146
9185,2.146
9186,2.146
9187,2.146
9188,2.146
9189,2.146
9190,2.146
9191,2.146
9192,2.146
9193,2.146
9194,2.146
9195,2.146
9196,2.146
9197,2.146
9198,2.146
9199,2.146
9200,2.146
9201,2.146
9202,2.146
9203,2.146
9204,2.146
9205,2.146
9206,2.146
9207,2.146
9208,2.146
9209,2.146
9210,2.146
9211,2.146
9212,2.146
9213,2.146
9214,2.146
9215,2.146
9216,2.146
9217,2.146
9218,2.146
9219,2.146
9220,2.146
9221,2.146
9222,2.146
9223,2.146
9224,2.146
9225,2.146
9226,2.146
9227,2.146
9228,2.146
9229,2.146
9230,2.146
9231,2.146
9232,2.146
9233,2.146
9234,2.146
9235,2.146
9236,2.146
9237,2.146
9238,2.146
9239,2.146
9240,2.146
9241,2.146
9242,2.146
9243,2.146
9244,2.146
9245,2.146
9246,2.146
9247,2.146
9248,2.146
9249,2.146
9250,2.146
9251,2.146
9252,2.146
9253,2.146
9254,2.146
9255,2.146
9256,2.146
9257,2.146
9258,2.146
9259,2.146
9260,2.146
9261,2.146
9262,2.146
9263,2.146
9264,2.146
9265,2.146
9266,2.146
9267,2.146
9268,2.146
9269,2.146
9270,2.146
9271,2.146
9272,2.146
9273,2.146
9274,2.146
9275,2.146
9276,2.146
9277,2.146
9278,2.146
9279,2.146
9280,2.146
9281,2.146
9282,2.146
9283,2.146
9284,2.146
9285,2.146
9286,2.146
9287,2.146
9288,2.146
9289,2.146
9290,2.146
9291,2.146
9292,2.146
9293,2.146
9294,2.146
9295,2.146
9296,2.146
9297,2.146
9298,2.146
9299,2.146
9300,2.146
9301,2.146
9302,2.146
9303,2.146
9304,2.146
9305,2.146
9306,2.146
9307,2.146
9308,2.146
9309,2.146
9310,2.146
9311,2.146
9312,2.146
9313,2.146
9314,2.146
9315,2.146
9316,2.146
9317,2.146
9318,2.146
9319,2.146
9320,2.146
9321,2.146
9322,2.146
9323,2.146
9324,2.146
9325,2.146
9326,2.146
9327,2.146
9328,2.146
9329,2.146
9330,2.146
9331,2.146
9332,2.146
9333,2.146
9334,2.146
9335,2.146
9336,2.146
9337,2.146
9338,2.146
9339,2.146
9340,2.146
9341,2.146
9342,2.146
