soil_resolution,function,id,filename
7x7x7,C_0000_Feldspar_Fill,003000,7x7x7_C_0000_Feldspar_Fill_003000
7x7x7,C_0060_Feldspar_Fill,003001,7x7x7_C_0060_Feldspar_Fill_003001
7x7x7,C_0120_Feldspar_Fill,003002,7x7x7_C_0120_Feldspar_Fill_003002
7x7x7,C_0180_Feldspar_Fill,003003,7x7x7_C_0180_Feldspar_Fill_003003
7x7x7,C_0240_Feldspar_Fill,003004,7x7x7_C_0240_Feldspar_Fill_003004
7x7x7,C_0300_Feldspar_Fill,003005,7x7x7_C_0300_Feldspar_Fill_003005
7x7x7,C_0360_Feldspar_Fill,003006,7x7x7_C_0360_Feldspar_Fill_003006
7x7x7,C_0420_Feldspar_Fill,003007,7x7x7_C_0420_Feldspar_Fill_003007
7x7x7,C_0480_Feldspar_Fill,003008,7x7x7_C_0480_Feldspar_Fill_003008
7x7x7,C_0540_Feldspar_Fill,003009,7x7x7_C_0540_Feldspar_Fill_003009
7x7x7,C_0600_Feldspar_Fill,003010,7x7x7_C_0600_Feldspar_Fill_003010
