cell_id,Density
9000,0.732
9001,0.732
9002,0.732
9003,0.732
9004,0.732
9005,0.732
9006,0.732
9007,0.732
9008,0.732
9009,0.732
9010,0.732
9011,0.732
9012,0.732
9013,0.732
9014,0.732
9015,0.732
9016,0.732
9017,0.732
9018,0.732
9019,0.732
9020,0.732
9021,0.732
9022,0.732
9023,0.732
9024,0.732
9025,0.732
9026,0.732
9027,0.732
9028,0.732
9029,0.732
9030,0.732
9031,0.732
9032,0.732
9033,0.732
9034,0.732
9035,0.732
9036,0.732
9037,0.732
9038,0.732
9039,0.732
9040,0.732
9041,0.732
9042,0.732
9043,0.732
9044,0.732
9045,0.732
9046,0.732
9047,0.732
9048,0.732
9049,0.732
9050,0.732
9051,0.732
9052,0.732
9053,0.732
9054,0.732
9055,0.732
9056,0.732
9057,0.732
9058,0.732
9059,0.732
9060,0.732
9061,0.732
9062,0.732
9063,0.732
9064,0.732
9065,0.732
9066,0.732
9067,0.732
9068,0.732
9069,0.732
9070,0.732
9071,0.732
9072,0.732
9073,0.732
9074,0.732
9075,0.732
9076,0.732
9077,0.732
9078,0.732
9079,0.732
9080,0.732
9081,0.732
9082,0.732
9083,0.732
9084,0.732
9085,0.732
9086,0.732
9087,0.732
9088,0.732
9089,0.732
9090,0.732
9091,0.732
9092,0.732
9093,0.732
9094,0.732
9095,0.732
9096,0.732
9097,0.732
9098,0.732
9099,0.732
9100,0.732
9101,0.732
9102,0.732
9103,0.732
9104,0.732
9105,0.732
9106,0.732
9107,0.732
9108,0.732
9109,0.732
9110,0.732
9111,0.732
9112,0.732
9113,0.732
9114,0.732
9115,0.732
9116,0.732
9117,0.732
9118,0.732
9119,0.732
9120,0.732
9121,0.732
9122,0.732
9123,0.732
9124,0.732
9125,0.732
9126,0.732
9127,0.732
9128,0.732
9129,0.732
9130,0.732
9131,0.732
9132,0.732
9133,0.732
9134,0.732
9135,0.732
9136,0.732
9137,0.732
9138,0.732
9139,0.732
9140,0.732
9141,0.732
9142,0.732
